Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-A-Registry-for-Energy-Savings-Report-Final-1-5-17.pdf"">A Registry for Energy Savings: From Energy Efficiency Programs & Practices</a></strong><br>This document presents recommendations for a registry of energy savings and carbon dioxide emission reductions from energy-efficiency improvements to existing buildings, implemented through ESPCs.<br>REPORTS & GUIDES",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification; Financing: Energy Savings Performance Contracting",Reports & Guides
"<strong><a href=""https://www.iowaeconomicdevelopment.com/Energy/CHP"">Combined Heat and Power Resource Guide</a></strong><br>This document describes the process of CHP adoption, and provides an overview of the emissions permit process along available financial incentives, case studies, and key contacts.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Distributed Generation,Reports & Guides
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-DEVELOPMENT-OF-A-CONSENSUS-APPROACH-FOR-ENERGY-MEASUREMENT-AND-EVALUATION-OF-ENERGY-SAVING-PERFORMANCE-CONTRACTS-Final-10-19-15.pdf"">Development of a Consensus Approach for Energy Measurement and Evaluation of Energy Saving Performance Contracts</a></strong><br>This report summarizes the conclusions and commitments of the states that partnered on the MEASURES project regarding the development of a consensus approach to evaluation, measurement, and verification (EM&V) of avoided electric energy consumption via energy savings performance contracts (ESPCs).<br>REPORTS & GUIDES",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification; Financing; Financing: Energy Savings Performance Contracting",Reports & Guides
"<strong><a href=""http://www.imt.org/resources/detail/stakeholder-engagement-guide-california-assembly-bill-802-data-access-and-b"">Stakeholder Engagement Guide: California Assembly Bill 802 Data Access and Benchmarking Policy</a></strong><br>As recommendations to the California Energy Commission (CEC), this guidance document covers how to engage stakeholders throughout the rulemaking process. While the CEC has the internal capacity to actively lead stakeholder engagement, this plan highlights key partners and contractors who can provide assistance in augmenting the efforts of staff.<br>REPORTS & GUIDES",Access and Use Energy Data; Design and Implement Energy Programs,Benchmarking,Reports & Guides
"<strong><a href=""https://www.ashrae.org/technical-resources/aedgs/zero-energy-aedg-free-download"">Advanced Energy Design Guide for K-12 School Buildings: Achieving Zero Energy</a></strong<br>This report helps elementary, middle, and high schools in their pursuit of zero energy performance goals for deep retrofits and new construction projects.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""https://resstock.nrel.gov/factsheets/"">Detailed State Fact Sheets on EE Potential in Single Family Homes</a></strong><br>NREL’s new research tool, ResStock, has identified $49 billion in annual cost-effective residential energy savings potential and the top 10 savings opportunities in 48 states.<br>RESOURCE SUMMARIES",Design and Implement Energy Programs,Energy Audits/Retrofits; Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Resource Summaries
"<strong><a href=""/node/3341787"">Guide for Incorporating Energy Efficiency in State Energy Plans</a></strong><br>This guide describes 10 steps commonly incorporated into state energy plans. For each step, the guide provides tips and examples from state energy plans to help each state support data-driven energy planning for enhancing energy efficiency.<br>REPORTS & GUIDES",Develop an Energy Plan,Distributed Generation; Energy Efficiency Resource Standard and Renewable Portfolio Standard; Energy Management; Financing; Public-Private Partnerships; Strategic Energy Planning; Utilities,Reports & Guides
"<strong><a href=""/node/3095333"">Combined Heat and Power: Kentucky Implementation Model</a></strong><br>In 2014, Kentucky’s Department of Energy Development and Independence (DEDI) launched a stakeholder engagement initiative to explore policy, regulatory, and market barriers that deter industry and facility owners and operators (end-users) from achieving the economic, energy reliability and other benefits of investments in CHP. With support from a State Energy Program (SEP) competitive award, Kentucky developed an Action Plan to stimulate the market for CHP project development throughout the state.<br>CASE STUDIES",Develop an Energy Plan,Strategic Energy Planning,Case Studies
"<strong><a href=""/node/1059886"">Status and Trends in the U.S. Voluntary Green Power Market</a></strong><br>This report documents the status and trends of the market for renewable energy procured voluntarily through seven mechanisms: utility green pricing, utility renewable contracts, unbundled renewable energy certificates (RECs), competitive suppliers, community choice aggregations (CCAs), power purchase agreements (PPAs), and community solar.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""https://betterbuildingssolutioncenter.energy.gov/showcase-projects/king-county-airport-terminal-deep-retrofit"">Showcase Project: King County Airport Terminal Deep Retrofit</a></strong><br>The King County Airport Terminal project is a deep energy retrofit focused on replacing the mechanical and lighting systems throughout the facility with state-of-the-art efficient technologies. This project highlights how a modern design approach to mechanical and lighting systems can dramatically reduce energy use, and how older and historic buildings can achieve deep energy reductions and exceed advanced energy code requirements. The project is expected to achieve energy savings of 68% and annual cost savings of $40,000.<br>CASE STUDIES",Design and Implement Energy Programs,Commissioning/Retro-commissioning; Energy Audits/Retrofits; Lighting,Case Studies
"<strong><a href=""/node/3123760"">Energy Data Management Manual for the Wastewater Treatment Sector</a></strong><br>The purpose of this document is to describe the benefits of energy data management, explain how it can help drive savings when linked to a strong energy management program, and provide clear, step-by-step guidance to wastewater treatment plants on how to appropriately track energy performance.<br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management; Wastewater,Reports & Guides
"<strong><a href=""/node/2619996"">Energy Efficiency Savings Infographic: The United States Has the Potential to Cost-Effectively Reduce Its Electricity Use by 741,000 GWh</a></strong><br>This infographic shows the nationwide energy efficiency savings potential and four pathways to savings across the United States.<br>TOOLS",Access and Use Energy Data; Develop an Energy Plan,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Tools
"<strong><a href=""/node/2945117"">Commercial Building Benchmarking Programs in the Southwest</a></strong><br>This report of the Southwest Energy Efficiency Project (SWEEP) points to successful benchmarking programs in the United States and their benefits.<br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking,Reports & Guides
